1, 782
2, 81630
3, 865
4, 142167
5, 108
6, 132373
7, -158
8, 134224
9, -715
10, 130403
11, -1119
12, 130090
13, -1512
14, 127304
15, -1870
16, 126450
17, -2210
18, 124024
19, -2516
20, 122841
21, -2674
22, 120733
23, -2940
24, 119408
25, -3155
26, 117335
27, -3302
28, 115946
29, -3454
30, 114077
31, -3596
32, 112433
33, -3682
34, 110690
35, -3648
36, 109085
37, -3680
38, 107412
39, -3763
40, 105620
41, -3646
42, 104188
43, -3763
44, 102263
45, -3575
46, 100975
47, -3614
48, 98956
49, -3350
50, 97920
51, -3351
52, 95505
53, -3119
54, 94969
55, -2979
56, 92068
57, -2628
58, 92267
59, -2653
60, 88346
61, -2148
62, 90203
63, -2355
64, 82718
65, -199
66, 108024
67, 1350
68, 132592
69, 314
70, 123461
71, 149
72, 124781
73, -543
74, 119343
75, -838
76, 118861
77, -1315
78, 114373
79, -1633
80, 113159
81, -1999
82, 109133
83, -2349
84, 107520
85, -2701
86, 103811
87, -2994
88, 101831
89, -3180
90, 98391
91, -3478
92, 96330
93, -3725
94, 92965
95, -3933
96, 90647
97, -4089
98, 87566
99, -4259
100, 85164
101, -4418
102, 82154
103, -4677
104, 79519
105, -4638
106, 76651
107, -4869
108, 74035
109, -4840
110, 71417
111, -5066
112, 68551
113, -4964
114, 66222
115, -5202
116, 63283
117, -5116
118, 61215
119, -5358
120, 58039
121, -5037
122, 56421
123, -5436
124, 52570
125, -4870
126, 52131
127, -5852
128, 46266
129, -1239
130, 59626
131, 3706
132, 69630
133, 3161
134, 59099
135, 4461
136, 54867
137, 4772
138, 46996
139, 5908
140, 42027
141, 6503
142, 35238
143, 7624
144, 30329
145, 8266
146, 24271
147, 9360
148, 19535
149, 10048
150, 14340
151, 11038
152, 10044
153, 11705
154, 5658
155, 12614
156, 1753
157, 13178
158, -1706
159, 13814
160, -5269
161, 14202
162, -7933
163, 14764
164, -10948
165, 14992
166, -12804
167, 15306
168, -15425
169, 15178
170, -16417
171, 15350
172, -18792
173, 14988
174, -18905
175, 14964
176, -21134
177, 14421
178, -20300
179, 13970
180, -22557
181, 13308
182, -20590
183, 12833
184, -23402
185, 11704
186, -19757
187, 11171
188, -24028
189, 9848
190, -17042
191, 9510
192, -27674
193, 5296
194, 21773
195, 2621
196, 64863
197, 3978
198, 46911
199, 4335
200, 47531
201, 5506
202, 36806
203, 6156
204, 34732
205, 7173
206, 26636
207, 7838
208, 23913
209, 8759
210, 17442
211, 9441
212, 14647
213, 10315
214, 9597
215, 10819
216, 7071
217, 11421
218, 3176
219, 11762
220, 962
221, 12228
222, -1817
223, 12473
224, -3808
225, 12531
226, -5567
227, 12555
228, -7357
229, 12368
230, -8043
231, 12127
232, -9664
233, 11796
234, -9462
235, 11361
236, -11108
237, 10740
238, -9920
239, 10118
240, -11825
241, 9351
242, -9643
243, 8587
244, -12148
245, 7681
246, -8591
247, 6811
248, -12250
249, 5790
250, -6597
251, 5001
252, -13018
253, 3809
254, -2430
255, 3177
256, -19083
257, 746
258, 57965
259, -1557
260, 131603
261, -1678
262, 110388
263, -2364
264, 118102
265, -2553
266, 107301
267, -3039
268, 110109
269, -3222
270, 102209
271, -3641
272, 103106
273, -3732
274, 96704
275, -4025
276, 96398
277, -4004
278, 90692
279, -4190
280, 89880
281, -4195
282, 84873
283, -4363
284, 83474
285, -4145
286, 78954
287, -4162
288, 77094
289, -4053
290, 73146
291, -4019
292, 70910
293, -3829
294, 67348
295, -3694
296, 64956
297, -3449
298, 61883
299, -3275
300, 59122
301, -3044
302, 56509
303, -2916
304, 53378
305, -2505
306, 51388
307, -2415
308, 47811
309, -1920
310, 46586
311, -1829
312, 42309
313, -1285
314, 42307
315, -1372
316, 36629
317, -618
318, 39330
319, -1017
320, 28129
321, 2266
322, 66139
323, 5140
324, 102180
325, 4104
326, 87851
327, 4435
328, 89017
329, 3920
330, 80245
331, 4030
332, 78857
333, 3803
334, 71857
335, 3906
336, 69544
337, 3699
338, 63541
339, 3897
340, 60750
341, 3803
342, 55526
343, 3979
344, 52574
345, 4015
346, 47995
347, 4160
348, 44852
349, 4260
350, 40921
351, 4457
352, 37701
353, 4519
354, 34417
355, 4665
356, 31215
357, 4889
358, 28656
359, 5002
360, 25373
361, 5046
362, 23507
363, 5201
364, 20160
365, 5402
366, 19023
367, 5489
368, 15482
369, 5614
370, 15321
371, 5660
372, 11358
373, 5886
374, 12360
375, 5735
376, 7644
377, 5874
378, 10492
379, 5820
380, 3698
381, 5997
382, 10787
383, 5542
384, -4356
385, 7511
386, 57602
387, 9596
388, 116571
389, 9163
390, 97785
391, 9603
392, 102684
393, 9587
394, 92379
395, 10010
396, 93109
397, 10155
398, 85261
399, 10606
400, 84505
401, 10853
402, 77863
403, 11384
404, 76047
405, 11746
406, 70292
407, 12297
408, 68054
409, 12677
410, 62824
411, 13396
412, 60160
413, 13855
414, 55431
415, 14584
416, 52622
417, 15049
418, 48464
419, 15888
420, 45212
421, 16404
422, 41627
423, 17217
424, 38232
425, 17601
426, 35279
427, 18511
428, 31530
429, 18829
430, 29223
431, 19739
432, 25269
433, 20029
434, 23758
435, 20972
436, 19182
437, 21111
438, 18748
439, 22184
440, 13340
441, 22017
442, 14661
443, 23324
444, 7188
445, 22627
446, 12336
447, 24884
448, -2731
449, 17010
450, 52900
451, 9038
452, 106491
453, 11012
454, 88290
455, 10145
456, 92073
457, 11076
458, 81874
459, 10741
460, 82072
461, 11549
462, 74082
463, 11444
464, 72785
465, 12188
466, 66093
467, 12234
468, 64105
469, 12944
470, 58225
471, 13114
472, 55604
473, 13661
474, 50527
475, 14103
476, 47795
477, 14549
478, 43159
479, 14932
480, 40309
481, 15331
482, 36378
483, 15785
484, 33345
485, 16203
486, 30075
487, 16614
488, 26896
489, 16940
490, 24341
491, 17330
492, 20935
493, 17430
494, 19061
495, 17913
496, 15495
497, 17844
498, 14537
499, 18336
500, 10532
501, 18034
502, 10657
503, 18621
504, 5810
505, 18129
506, 7700
507, 18940
508, 959
509, 17721
510, 6685
511, 19628
512, -7548
513, 10545
514, 47800
515, 1043
516, 100394
517, 2524
518, 81840
519, 690
520, 85101
521, 1010
522, 74447
523, -237
524, 74107
525, -139
526, 65661
527, -1149
528, 63892
529, -1181
530, 56622
531, -1983
532, 54269
533, -2012
534, 47753
535, -2633
536, 44968
537, -2743
538, 39267
539, -3409
540, 36260
541, -3343
542, 31125
543, -3926
544, 28002
545, -3946
546, 23590
547, -4350
548, 20499
549, -4352
550, 16668
551, -4647
552, 13493
553, -4699
554, 10276
555, -4948
556, 7272
557, -4946
558, 4663
559, -5135
560, 1676
561, -5045
562, -189
563, -5205
564, -3238
565, -4988
566, -4241
567, -5194
568, -7734
569, -4923
570, -7176
571, -5191
572, -11752
573, -4586
574, -8645
575, -5292
576, -17723
577, -2227
578, 16588
579, 431
580, 46505
581, -321
582, 31293
583, -20
584, 30262
585, -264
586, 20897
587, -83
588, 18545
589, -83
590, 11379
591, 158
592, 8999
593, 158
594, 3569
595, 383
596, 1530
597, 360
598, -2535
599, 540
600, -3852
601, 630
602, -6665
603, 735
604, -7518
605, 726
606, -9155
607, 786
608, -9402
609, 712
610, -10066
611, 850
612, -9938
613, 731
614, -9851
615, 675
616, -9368
617, 645
618, -8452
619, 481
620, -7932
621, 416
622, -6616
623, 279
624, -6072
625, 177
626, -4004
627, -37
628, -3905
629, -122
630, -1404
631, -346
632, -1953
633, -419
634, 1404
635, -656
636, -538
637, -556
638, 4867
639, -1117
640, -2051
641, 439
642, 33496
643, 2107
644, 63244
645, 1958
646, 48173
647, 2464
648, 47004
649, 2591
650, 37224
651, 3155
652, 34246
653, 3540
654, 26278
655, 4087
656, 22986
657, 4504
658, 16221
659, 5080
660, 13103
661, 5537
662, 7434
663, 6124
664, 4674
665, 6577
666, -8
667, 6972
668, -2208
669, 7334
670, -6013
671, 7773
672, -7785
673, 8085
674, -10668
675, 8351
676, -11826
677, 8485
678, -14044
679, 8612
680, -14521
681, 8661
682, -16036
683, 8670
684, -16064
685, 8564
686, -16877
687, 8493
688, -16492
689, 8245
690, -16822
691, 7993
692, -16065
693, 7536
694, -15941
695, 7191
696, -14939
697, 6711
698, -14456
699, 6132
700, -13135
701, 5638
702, -12489
703, 5041
704, -10968
705, 4308
706, -11341
707, 4511
708, -16251
709, 4969
710, -20774
711, 5277
712, -23727
713, 5592
714, -25876
715, 5675
716, -26659
717, 5601
718, -26943
719, 5378
720, -25763
721, 5067
722, -24400
723, 4499
724, -22043
725, 3993
726, -19493
727, 3196
728, -16270
729, 2416
730, -13160
731, 1478
732, -9632
733, 603
734, -6472
735, -343
736, -3072
737, -1198
738, -313
739, -2087
740, 2590
741, -2719
742, 4703
743, -3433
744, 6833
745, -3850
746, 8188
747, -4271
748, 9532
749, -4450
750, 10004
751, -4558
752, 10499
753, -4340
754, 10144
755, -4196
756, 9932
757, -3580
758, 8906
759, -3274
760, 8372
761, -2400
762, 6580
763, -2012
764, 6066
765, -812
766, 3700
767, -846
768, 4054
769, 3157
770, -4708
771, 6907
772, -16574
773, 6646
774, -19899
775, 7330
776, -24315
777, 7249
778, -26290
779, 7341
780, -28157
781, 6896
782, -28362
783, 6539
784, -28116
785, 5697
786, -26701
787, 5015
788, -25060
789, 3959
790, -22639
791, 2861
792, -19836
793, 1696
794, -16603
795, 406
796, -13258
797, -880
798, -9928
799, -2044
800, -6433
801, -3291
802, -3185
803, -4325
804, 0
805, -5199
806, 2751
807, -5965
808, 5327
809, -6471
810, 7363
811, -6731
812, 9398
813, -6798
814, 10505
815, -6613
816, 11708
817, -6193
818, 11949
819, -5666
820, 12551
821, -4683
822, 11943
823, -3868
824, 11982
825, -2647
826, 10616
827, -1584
828, 10512
829, 7
830, 8193
831, 641
832, 9052
833, 4379
834, -1934
835, 7291
836, -15481
837, 7114
838, -17211
839, 7527
840, -21355
841, 7117
842, -22017
843, 7022
844, -23723
845, 6205
846, -22911
847, 5552
848, -22747
849, 4468
850, -20806
851, 3518
852, -19442
853, 2136
854, -16683
855, 918
856, -14697
857, -357
858, -11648
859, -1537
860, -9411
861, -2796
862, -6388
863, -3866
864, -4304
865, -4809
866, -1575
867, -5519
868, 24
869, -5968
870, 2355
871, -6275
872, 3278
873, -6327
874, 5085
875, -6220
876, 5234
877, -5879
878, 6595
879, -5278
880, 6199
881, -4574
882, 7166
883, -3710
884, 6028
885, -2762
886, 6917
887, -1699
888, 5058
889, -672
890, 6318
891, 342
892, 3502
893, 1361
894, 5981
895, 2285
896, -13
897, 2902
898, 22500
899, 3450
900, 40310
901, 4084
902, 28873
903, 4734
904, 26718
905, 5315
906, 19470
907, 5818
908, 16702
909, 6349
910, 11497
911, 6843
912, 9081
913, 7189
914, 5327
915, 7342
916, 3468
917, 7536
918, 936
919, 7611
920, -375
921, 7398
922, -1869
923, 7267
924, -2591
925, 6888
926, -3305
927, 6458
928, -3648
929, 5948
930, -3449
931, 5348
932, -3671
933, 4630
934, -2940
935, 4067
936, -2992
937, 3343
938, -1853
939, 2483
940, -2090
941, 1842
942, -503
943, 1202
944, -1077
945, 526
946, 895
947, -31
948, -152
949, -592
950, 2427
951, -1021
952, 318
953, -1412
954, 4096
955, -1722
956, 40
957, -1869
958, 6567
959, -1985
960, -4050
961, -2315
962, 43858
963, -2917
964, 87092
965, -3254
966, 70430
967, -3547
968, 71878
969, -3789
970, 61978
971, -3941
972, 60576
973, -4028
974, 52534
975, -4116
976, 49918
977, -4003
978, 43244
979, -4012
980, 40232
981, -3912
982, 34284
983, -3789
984, 30991
985, -3660
986, 25786
987, -3509
988, 22635
989, -3217
990, 18126
991, -3044
992, 14830
993, -2796
994, 11044
995, -2560
996, 7932
997, -2260
998, 4974
999, -2089
1000, 1940
1001, -1818
1002, -251
1003, -1529
1004, -3187
1005, -1290
1006, -4679
1007, -1054
1008, -7586
1009, -919
1010, -8079
1011, -665
1012, -11157
1013, -502
1014, -10494
1015, -346
1016, -14132
1017, -231
1018, -11826
1019, -112
1020, -17015
1021, 85
1022, -11160
1023, 86
1024, -22866
1025, 284
1026, 26901
1027, 125
1028, 72264
1029, -335
1030, 54603
1031, -679
1032, 56533
1033, -1040
1034, 46159
1035, -1436
1036, 45152
1037, -1672
1038, 37270
1039, -1936
1040, 35514
1041, -2128
1042, 28895
1043, -2422
1044, 27045
1045, -2504
1046, 21741
1047, -2822
1048, 19920
1049, -2886
1050, 15390
1051, -3013
1052, 13922
1053, -3067
1054, 10277
1055, -3360
1056, 9020
1057, -3302
1058, 6250
1059, -3660
1060, 5270
1061, -3640
1062, 3218
1063, -3822
1064, 2557
1065, -3706
1066, 1136
1067, -4079
1068, 716
1069, -3891
1070, -164
1071, -4337
1072, -354
1073, -3967
1074, -806
1075, -4524
1076, -963
1077, -3990
1078, -948
1079, -4638
1080, -1265
1081, -3873
1082, -718
1083, -4899
1084, -1282
1085, -3555
1086, 162
1087, -5809
1088, -2006
1089, 4438
1090, 9209
1091, 14735
1092, 15388
1093, 12690
1094, 5843
1095, 14401
1096, 2144
1097, 13622
1098, -4250
1099, 14449
1100, -7468
1101, 13946
1102, -11963
1103, 14347
1104, -14267
1105, 13736
1106, -17219
1107, 13794
1108, -18446
1109, 13134
1110, -20135
1111, 12800
1112, -20314
